Year,Country,Value,Indicator
2017,RO,-5.5,Real effective exchange rate
2018,RO,-0.7,Real effective exchange rate
2019,RO,0.3,Real effective exchange rate
2020,RO,3.4,Real effective exchange rate
2021,RO,1.1,Real effective exchange rate
2022,RO,2.6,Real effective exchange rate
2023,RO,6.8,Real effective exchange rate
2024,RO,9.7,Real effective exchange rate
2015,SE,-8.2,Real effective exchange rate
2016,SE,-9.0,Real effective exchange rate
2017,SE,-5.4,Real effective exchange rate
2018,SE,-3.9,Real effective exchange rate
2019,SE,-8.3,Real effective exchange rate
2020,SE,-4.7,Real effective exchange rate
2021,SE,2.1,Real effective exchange rate
2022,SE,-1.3,Real effective exchange rate
2023,SE,-7.5,Real effective exchange rate
2024,SE,-9.7,Real effective exchange rate
2015,SI,0.4,Real effective exchange rate
2016,SI,-0.5,Real effective exchange rate
2017,SI,-1.8,Real effective exchange rate
2018,SI,2.0,Real effective exchange rate
2019,SI,1.1,Real effective exchange rate
2020,SI,1.7,Real effective exchange rate
2021,SI,-0.4,Real effective exchange rate
2022,SI,-1.3,Real effective exchange rate
2023,SI,1.1,Real effective exchange rate
2024,SI,1.1,Real effective exchange rate
2015,SK,-1.2,Real effective exchange rate
2016,SK,-1.6,Real effective exchange rate
2017,SK,-1.9,Real effective exchange rate
2018,SK,2.5,Real effective exchange rate
2019,SK,2.6,Real effective exchange rate
2020,SK,5.3,Real effective exchange rate
2021,SK,3.1,Real effective exchange rate
2022,SK,3.8,Real effective exchange rate
2023,SK,7.5,Real effective exchange rate
2024,SK,8.3,Real effective exchange rate
2015,AT,-3.2065,Export performance against advanced economies
2016,AT,-2.7454,Export performance against advanced economies
2017,AT,-2.9673,Export performance against advanced economies
2018,AT,5.2355,Export performance against advanced economies
2019,AT,1.9079,Export performance against advanced economies
2020,AT,2.6792,Export performance against advanced economies
2021,AT,-1.8817,Export performance against advanced economies
2022,AT,-3.8203,Export performance against advanced economies
2023,AT,-1.4492,Export performance against advanced economies
2015,BE,-7.8051,Export performance against advanced economies
2016,BE,-4.39,Export performance against advanced economies
2017,BE,-2.4575,Export performance against advanced economies
2018,BE,6.0369,Export performance against advanced economies
2019,BE,0.4067,Export performance against advanced economies
2020,BE,3.4804,Export performance against advanced economies
2021,BE,8.9073,Export performance against advanced economies
2022,BE,3.4269,Export performance against advanced economies
2023,BE,-5.9994,Export performance against advanced economies
2015,BG,3.2417,Export performance against advanced economies
2016,BG,3.172,Export performance against advanced economies
2017,BG,8.2506,Export performance against advanced economies
2018,BG,13.6893,Export performance against advanced economies
2019,BG,9.0355,Export performance against advanced economies
2020,BG,3.6004,Export performance against advanced economies
2021,BG,9.7083,Export performance against advanced economies
2022,BG,17.3121,Export performance against advanced economies
2023,BG,15.4265,Export performance against advanced economies
2015,CY,5.0562,Export performance against advanced economies
2016,CY,8.9163,Export performance against advanced economies
2017,CY,12.5469,Export performance against advanced economies
2018,CY,16.3317,Export performance against advanced economies
2019,CY,14.0672,Export performance against advanced economies
2020,CY,23.9335,Export performance against advanced economies
2021,CY,31.6419,Export performance against advanced economies
2022,CY,29.9848,Export performance against advanced economies
2023,CY,17.3839,Export performance against advanced economies
2015,CZ,-0.1033,Export performance against advanced economies
2016,CZ,4.0394,Export performance against advanced economies
2017,CZ,2.9455,Export performance against advanced economies
2018,CZ,7.2058,Export performance against advanced economies
2019,CZ,2.6688,Export performance against advanced economies
2020,CZ,1.2925,Export performance against advanced economies
2021,CZ,-2.1883,Export performance against advanced economies
2022,CZ,-4.3452,Export performance against advanced economies
2023,CZ,0.794,Export performance against advanced economies
2015,DE,-0.8327,Export performance against advanced economies
2016,DE,0.0703,Export performance against advanced economies
2017,DE,-1.9864,Export performance against advanced economies
2018,DE,0.0622,Export performance against advanced economies
2019,DE,-2.9842,Export performance against advanced economies
2020,DE,-0.2024,Export performance against advanced economies
2021,DE,-1.723,Export performance against advanced economies
2022,DE,-7.5902,Export performance against advanced economies
2023,DE,-8.5777,Export performance against advanced economies
2015,DK,-2.2589,Export performance against advanced economies
2016,DK,-4.3489,Export performance against advanced economies
2017,DK,-3.2267,Export performance against advanced economies
2018,DK,1.553,Export performance against advanced economies
2019,DK,3.3864,Export performance against advanced economies
2020,DK,9.9808,Export performance against advanced economies
2021,DK,8.6685,Export performance against advanced economies
2022,DK,13.633,Export performance against advanced economies
2023,DK,2.4548,Export performance against advanced economies
2015,EE,-6.7914,Export performance against advanced economies
2016,EE,-5.8865,Export performance against advanced economies
2017,EE,-4.7466,Export performance against advanced economies
2018,EE,8.5167,Export performance against advanced economies
2019,EE,5.5773,Export performance against advanced economies
2020,EE,9.6117,Export performance against advanced economies
2021,EE,19.152,Export performance against advanced economies
2022,EE,18.029,Export performance against advanced economies
2023,EE,7.728,Export performance against advanced economies
2015,EL,-5.7652,Export performance against advanced economies
2016,EL,-9.8395,Export performance against advanced economies
2017,EL,-6.6685,Export performance against advanced economies
2018,EL,10.7817,Export performance against advanced economies
2019,EL,15.0507,Export performance against advanced economies
2020,EL,-12.745,Export performance against advanced economies
2021,EL,-1.8188,Export performance against advanced economies
2022,EL,7.1624,Export performance against advanced economies
2023,EL,32.0526,Export performance against advanced economies
2015,ES,0.6039,Export performance against advanced economies
2016,ES,0.8656,Export performance against advanced economies
2017,ES,2.372,Export performance against advanced economies
2018,ES,5.0507,Export performance against advanced economies
2019,ES,-0.5821,Export performance against advanced economies
2020,ES,-12.0798,Export performance against advanced economies
2021,ES,-9.463,Export performance against advanced economies
2022,ES,-3.7394,Export performance against advanced economies
2023,ES,13.9795,Export performance against advanced economies
2015,FI,-13.1246,Export performance against advanced economies
2016,FI,-11.9976,Export performance against advanced economies
2017,FI,-2.0648,Export performance against advanced economies
2018,FI,8.572,Export performance against advanced economies
2019,FI,9.6054,Export performance against advanced economies
2020,FI,4.118,Export performance against advanced economies
2021,FI,0.3973,Export performance against advanced economies
2022,FI,-2.5679,Export performance against advanced economies
2023,FI,-5.9544,Export performance against advanced economies
2015,FR,-0.215,Export performance against advanced economies
2016,FR,-2.5916,Export performance against advanced economies
2017,FR,-3.6026,Export performance against advanced economies
2018,FR,-0.7182,Export performance against advanced economies
2019,FR,-1.7903,Export performance against advanced economies
2020,FR,-6.591,Export performance against advanced economies
2021,FR,-5.9539,Export performance against advanced economies
2022,FR,-5.9577,Export performance against advanced economies
2023,FR,2.092,Export performance against advanced economies
2015,HR,30.7411,Export performance against advanced economies
2016,HR,12.7783,Export performance against advanced economies
2017,HR,13.1943,Export performance against advanced economies
2018,HR,13.2363,Export performance against advanced economies
2019,HR,9.3729,Export performance against advanced economies
2020,HR,-11.1412,Export performance against advanced economies
2021,HR,2.5187,Export performance against advanced economies
2022,HR,9.4511,Export performance against advanced economies
2023,HR,36.6053,Export performance against advanced economies
2015,HU,3.3055,Export performance against advanced economies
2016,HU,3.3816,Export performance against advanced economies
2017,HU,1.9735,Export performance against advanced economies
2018,HU,3.8207,Export performance against advanced economies
2019,HU,2.6143,Export performance against advanced economies
2020,HU,3.7617,Export performance against advanced economies
2021,HU,-0.8414,Export performance against advanced economies
2022,HU,-3.0915,Export performance against advanced economies
2023,HU,1.2435,Export performance against advanced economies
2015,IE,69.8514,Export performance against advanced economies
2016,IE,59.5843,Export performance against advanced economies
2017,IE,48.494,Export performance against advanced economies
2018,IE,10.082,Export performance against advanced economies
2019,IE,15.4732,Export performance against advanced economies
2020,IE,40.4912,Export performance against advanced economies
2021,IE,32.9756,Export performance against advanced economies
2022,IE,16.622,Export performance against advanced economies
2023,IE,-9.1617,Export performance against advanced economies
2015,IT,-4.5613,Export performance against advanced economies
2016,IT,-3.4125,Export performance against advanced economies
2017,IT,-2.774,Export performance against advanced economies
2018,IT,1.7271,Export performance against advanced economies
2019,IT,-1.8624,Export performance against advanced economies
2020,IT,-4.8647,Export performance against advanced economies
2021,IT,-3.8754,Export performance against advanced economies
2022,IT,-3.8551,Export performance against advanced economies
2023,IT,3.0998,Export performance against advanced economies
2015,LT,-11.4352,Export performance against advanced economies
2016,LT,-14.3021,Export performance against advanced economies
2017,LT,1.839,Export performance against advanced economies
2018,LT,19.9169,Export performance against advanced economies
2019,LT,24.085,Export performance against advanced economies
2020,LT,22.0453,Export performance against advanced economies
2021,LT,20.9634,Export performance against advanced economies
2022,LT,18.5942,Export performance against advanced economies
2023,LT,6.6302,Export performance against advanced economies
2015,LU,19.7238,Export performance against advanced economies
2016,LU,11.4723,Export performance against advanced economies
2017,LU,3.8409,Export performance against advanced economies
2018,LU,0.845,Export performance against advanced economies
2019,LU,3.655,Export performance against advanced economies
2020,LU,20.9111,Export performance against advanced economies
2021,LU,22.6469,Export performance against advanced economies
2022,LU,-2.2275,Export performance against advanced economies
2023,LU,-14.3958,Export performance against advanced economies
2015,LV,-0.5285,Export performance against advanced economies
2016,LV,-0.5452,Export performance against advanced economies
2017,LV,-0.3495,Export performance against advanced economies
2018,LV,8.8225,Export performance against advanced economies
2019,LV,5.0936,Export performance against advanced economies
2020,LV,14.4565,Export performance against advanced economies
2021,LV,10.0859,Export performance against advanced economies
2022,LV,15.9208,Export performance against advanced economies
2023,LV,-1.6873,Export performance against advanced economies
2015,MT,12.6431,Export performance against advanced economies
2016,MT,13.2519,Export performance against advanced economies
2017,MT,2.9761,Export performance against advanced economies
2018,MT,-0.1381,Export performance against advanced economies
2019,MT,8.6789,Export performance against advanced economies
2020,MT,32.2192,Export performance against advanced economies
2021,MT,6.5372,Export performance against advanced economies
2022,MT,-9.7245,Export performance against advanced economies
2023,MT,-10.7057,Export performance against advanced economies
2015,NL,1.0329,Export performance against advanced economies
2016,NL,-2.1045,Export performance against advanced economies
2017,NL,0.2014,Export performance against advanced economies
2018,NL,4.9761,Export performance against advanced economies
2019,NL,4.7678,Export performance against advanced economies
2020,NL,8.1748,Export performance against advanced economies
2021,NL,3.2106,Export performance against advanced economies
2022,NL,3.747,Export performance against advanced economies
2023,NL,-1.9638,Export performance against advanced economies
2015,PL,7.69,Export performance against advanced economies
2016,PL,7.4005,Export performance against advanced economies
2017,PL,11.0968,Export performance against advanced economies
2018,PL,16.0501,Export performance against advanced economies
2019,PL,14.4725,Export performance against advanced economies
2020,PL,19.9418,Export performance against advanced economies
2021,PL,15.9339,Export performance against advanced economies
2022,PL,12.3255,Export performance against advanced economies
2023,PL,7.6583,Export performance against advanced economies
2015,PT,3.9126,Export performance against advanced economies
2016,PT,-0.4524,Export performance against advanced economies
2017,PT,3.504,Export performance against advanced economies
2018,PT,9.2206,Export performance against advanced economies
2019,PT,6.985,Export performance against advanced economies
2020,PT,-7.1949,Export performance against advanced economies
2021,PT,-8.0984,Export performance against advanced economies
2022,PT,-1.56,Export performance against advanced economies
2023,PT,16.1751,Export performance against advanced economies
2015,RO,20.1129,Export performance against advanced economies
2016,RO,11.0092,Export performance against advanced economies
2017,RO,9.3171,Export performance against advanced economies
2018,RO,16.1216,Export performance against advanced economies
2019,RO,9.3349,Export performance against advanced economies
2020,RO,7.4603,Export performance against advanced economies
2021,RO,5.1661,Export performance against advanced economies
2022,RO,3.9465,Export performance against advanced economies
2023,RO,6.8166,Export performance against advanced economies
2015,SE,-6.0189,Export performance against advanced economies
2016,SE,-4.4629,Export performance against advanced economies
2017,SE,-4.6157,Export performance against advanced economies
2018,SE,-3.1179,Export performance against advanced economies
2019,SE,-1.2589,Export performance against advanced economies
2020,SE,5.4062,Export performance against advanced economies
2021,SE,8.6569,Export performance against advanced economies
2022,SE,-0.5768,Export performance against advanced economies
2023,SE,-2.8728,Export performance against advanced economies
2015,SI,2.029,Export performance against advanced economies
2016,SI,4.4411,Export performance against advanced economies
2017,SI,8.3212,Export performance against advanced economies
2018,SI,17.1192,Export performance against advanced economies
2019,SI,11.6488,Export performance against advanced economies
2020,SI,6.7552,Export performance against advanced economies
2021,SI,3.0805,Export performance against advanced economies
2022,SI,0.9214,Export performance against advanced economies
2023,SI,0.2146,Export performance against advanced economies
2015,SK,-2.3166,Export performance against advanced economies
2016,SK,-1.9393,Export performance against advanced economies
2017,SK,0.5716,Export performance against advanced economies
2018,SK,7.3511,Export performance against advanced economies
2019,SK,-0.5763,Export performance against advanced economies
2020,SK,3.8767,Export performance against advanced economies
2021,SK,-0.9858,Export performance against advanced economies
2022,SK,-3.9152,Export performance against advanced economies
2023,SK,-3.1009,Export performance against advanced economies
2015,AT,5.9,Nominal unit labour cost index
2016,AT,4.8,Nominal unit labour cost index
2017,AT,4.2,Nominal unit labour cost index
2018,AT,5.1,Nominal unit labour cost index
2019,AT,5.6,Nominal unit labour cost index
2020,AT,11.9,Nominal unit labour cost index
2021,AT,8.8,Nominal unit labour cost index
2022,AT,8.9,Nominal unit labour cost index
2023,AT,10.3,Nominal unit labour cost index
2024,AT,22.0,Nominal unit labour cost index
2015,BE,1.0,Nominal unit labour cost index
2016,BE,-0.6,Nominal unit labour cost index
2017,BE,1.6,Nominal unit labour cost index
2018,BE,3.6,Nominal unit labour cost index
2019,BE,4.5,Nominal unit labour cost index
2020,BE,4.1,Nominal unit labour cost index
2021,BE,5.1,Nominal unit labour cost index
2022,BE,9.2,Nominal unit labour cost index
2023,BE,15.9,Nominal unit labour cost index
2024,BE,15.8,Nominal unit labour cost index
2015,BG,17.3,Nominal unit labour cost index
2016,BG,11.2,Nominal unit labour cost index
2017,BG,15.9,Nominal unit labour cost index
2018,BG,20.8,Nominal unit labour cost index
2019,BG,18.8,Nominal unit labour cost index
2020,BG,17.8,Nominal unit labour cost index
2021,BG,14.0,Nominal unit labour cost index
2022,BG,24.1,Nominal unit labour cost index
2023,BG,26.9,Nominal unit labour cost index
2024,BG,33.8,Nominal unit labour cost index
2015,CY,-10.7,Nominal unit labour cost index
2016,CY,-9.6,Nominal unit labour cost index
2017,CY,-5.2,Nominal unit labour cost index
2018,CY,-0.7,Nominal unit labour cost index
2019,CY,6.8,Nominal unit labour cost index
2020,CY,9.3,Nominal unit labour cost index
2021,CY,3.8,Nominal unit labour cost index
2022,CY,3.5,Nominal unit labour cost index
2023,CY,3.7,Nominal unit labour cost index
2024,CY,11.2,Nominal unit labour cost index
2015,CZ,0.8,Nominal unit labour cost index
2016,CZ,4.3,Nominal unit labour cost index
2017,CZ,7.0,Nominal unit labour cost index
2018,CZ,14.2,Nominal unit labour cost index
2019,CZ,14.3,Nominal unit labour cost index
2020,CZ,18.1,Nominal unit labour cost index
2021,CZ,14.8,Nominal unit labour cost index
2022,CZ,17.0,Nominal unit labour cost index
2023,CZ,17.2,Nominal unit labour cost index
2024,CZ,18.8,Nominal unit labour cost index
2015,DE,5.8,Nominal unit labour cost index
2016,DE,4.6,Nominal unit labour cost index
2017,DE,4.4,Nominal unit labour cost index
2018,DE,5.6,Nominal unit labour cost index
2019,DE,7.6,Nominal unit labour cost index
2020,DE,9.7,Nominal unit labour cost index
2021,DE,6.1,Nominal unit labour cost index
2022,DE,7.4,Nominal unit labour cost index
2023,DE,11.0,Nominal unit labour cost index
2024,DE,17.5,Nominal unit labour cost index
2015,DK,2.5,Nominal unit labour cost index
2016,DK,1.8,Nominal unit labour cost index
2017,DK,0.9,Nominal unit labour cost index
2018,DK,0.9,Nominal unit labour cost index
2019,DK,2.3,Nominal unit labour cost index
2020,DK,5.6,Nominal unit labour cost index
2021,DK,2.9,Nominal unit labour cost index
2022,DK,7.0,Nominal unit labour cost index
2023,DK,5.7,Nominal unit labour cost index
2024,DK,8.5,Nominal unit labour cost index
2015,EE,13.5,Nominal unit labour cost index
2016,EE,12.6,Nominal unit labour cost index
2017,EE,12.4,Nominal unit labour cost index
2018,EE,15.4,Nominal unit labour cost index
2019,EE,16.7,Nominal unit labour cost index
2020,EE,17.5,Nominal unit labour cost index
2021,EE,12.3,Nominal unit labour cost index
2022,EE,20.2,Nominal unit labour cost index
2023,EE,32.5,Nominal unit labour cost index
2024,EE,37.6,Nominal unit labour cost index
2015,EL,-12.3,Nominal unit labour cost index
2016,EL,-7.4,Nominal unit labour cost index
2017,EL,-5.2,Nominal unit labour cost index
2018,EL,-2.6,Nominal unit labour cost index
2019,EL,-2.5,Nominal unit labour cost index
2020,EL,4.6,Nominal unit labour cost index
2021,EL,4.2,Nominal unit labour cost index
2022,EL,3.4,Nominal unit labour cost index
2023,EL,-1.8,Nominal unit labour cost index
2024,EL,4.9,Nominal unit labour cost index
2015,ES,-0.6,Nominal unit labour cost index
2016,ES,-0.9,Nominal unit labour cost index
2017,ES,-0.5,Nominal unit labour cost index
2018,ES,1.2,Nominal unit labour cost index
2019,ES,6.3,Nominal unit labour cost index
2020,ES,12.8,Nominal unit labour cost index
2021,ES,13.0,Nominal unit labour cost index
2022,ES,10.3,Nominal unit labour cost index
2023,ES,10.0,Nominal unit labour cost index
2024,ES,12.8,Nominal unit labour cost index
2015,FI,3.2,Nominal unit labour cost index
2016,FI,0.7,Nominal unit labour cost index
2017,FI,-3.5,Nominal unit labour cost index
2018,FI,-1.7,Nominal unit labour cost index
2019,FI,1.1,Nominal unit labour cost index
2020,FI,5.1,Nominal unit labour cost index
2021,FI,6.3,Nominal unit labour cost index
2022,FI,9.8,Nominal unit labour cost index
2023,FI,14.7,Nominal unit labour cost index
2024,FI,10.3,Nominal unit labour cost index
2015,FR,2.3,Nominal unit labour cost index
2016,FR,1.8,Nominal unit labour cost index
2017,FR,2.0,Nominal unit labour cost index
2018,FR,2.5,Nominal unit labour cost index
2019,FR,0.8,Nominal unit labour cost index
2020,FR,4.3,Nominal unit labour cost index
2021,FR,3.9,Nominal unit labour cost index
2022,FR,9.7,Nominal unit labour cost index
2023,FR,9.5,Nominal unit labour cost index
2024,FR,11.7,Nominal unit labour cost index
2015,HR,-5.0,Nominal unit labour cost index
2016,HR,-4.2,Nominal unit labour cost index
2017,HR,-2.8,Nominal unit labour cost index
2018,HR,1.2,Nominal unit labour cost index
2019,HR,2.3,Nominal unit labour cost index
2020,HR,11.6,Nominal unit labour cost index
2021,HR,2.2,Nominal unit labour cost index
2022,HR,10.9,Nominal unit labour cost index
2023,HR,17.1,Nominal unit labour cost index
2024,HR,40.0,Nominal unit labour cost index
2015,HU,0.2,Nominal unit labour cost index
2016,HU,4.6,Nominal unit labour cost index
2017,HU,8.7,Nominal unit labour cost index
2018,HU,11.1,Nominal unit labour cost index
2019,HU,12.1,Nominal unit labour cost index
2020,HU,14.0,Nominal unit labour cost index
2021,HU,14.6,Nominal unit labour cost index
2022,HU,25.2,Nominal unit labour cost index
2023,HU,36.6,Nominal unit labour cost index
2024,HU,47.7,Nominal unit labour cost index
2015,IE,-19.6,Nominal unit labour cost index
2016,IE,-15.4,Nominal unit labour cost index
2017,IE,-14.1,Nominal unit labour cost index
2018,IE,-0.8,Nominal unit labour cost index
2019,IE,-3.5,Nominal unit labour cost index
2020,IE,-8.3,Nominal unit labour cost index
2021,IE,-11.3,Nominal unit labour cost index
2022,IE,-11.9,Nominal unit labour cost index
2023,IE,12.2,Nominal unit labour cost index
2024,IE,23.9,Nominal unit labour cost index
2015,IT,1.6,Nominal unit labour cost index
2016,IT,0.9,Nominal unit labour cost index
2017,IT,0.6,Nominal unit labour cost index
2018,IT,1.4,Nominal unit labour cost index
2019,IT,2.9,Nominal unit labour cost index
2020,IT,5.0,Nominal unit labour cost index
2021,IT,3.5,Nominal unit labour cost index
2022,IT,2.8,Nominal unit labour cost index
2023,IT,4.7,Nominal unit labour cost index
2024,IT,8.9,Nominal unit labour cost index
2015,LT,10.1,Nominal unit labour cost index
2016,LT,13.2,Nominal unit labour cost index
2017,LT,14.6,Nominal unit labour cost index
2018,LT,14.4,Nominal unit labour cost index
2019,LT,15.0,Nominal unit labour cost index
2020,LT,15.2,Nominal unit labour cost index
2021,LT,17.5,Nominal unit labour cost index
2022,LT,27.2,Nominal unit labour cost index
2023,LT,37.3,Nominal unit labour cost index
2024,LT,39.5,Nominal unit labour cost index
2015,LU,5.8,Nominal unit labour cost index
2016,LU,2.7,Nominal unit labour cost index
2017,LU,5.9,Nominal unit labour cost index
2018,LU,8.6,Nominal unit labour cost index
2019,LU,12.9,Nominal unit labour cost index
2020,LU,10.7,Nominal unit labour cost index
2021,LU,7.5,Nominal unit labour cost index
2022,LU,14.2,Nominal unit labour cost index
2023,LU,16.6,Nominal unit labour cost index
2024,LU,17.5,Nominal unit labour cost index
2015,LV,16.9,Nominal unit labour cost index
2016,LV,14.7,Nominal unit labour cost index
2017,LV,14.0,Nominal unit labour cost index
2018,LV,13.1,Nominal unit labour cost index
2019,LV,16.0,Nominal unit labour cost index
2020,LV,17.4,Nominal unit labour cost index
2021,LV,11.3,Nominal unit labour cost index
2022,LV,16.2,Nominal unit labour cost index
2023,LV,24.4,Nominal unit labour cost index
2024,LV,36.2,Nominal unit labour cost index
2015,MT,1.1,Nominal unit labour cost index
2016,MT,4.9,Nominal unit labour cost index
2017,MT,1.0,Nominal unit labour cost index
2018,MT,8.3,Nominal unit labour cost index
2019,MT,9.1,Nominal unit labour cost index
2020,MT,21.4,Nominal unit labour cost index
2021,MT,7.9,Nominal unit labour cost index
2022,MT,8.9,Nominal unit labour cost index
2023,MT,3.1,Nominal unit labour cost index
2024,MT,13.1,Nominal unit labour cost index
2015,NL,-0.3,Nominal unit labour cost index
2016,NL,0.2,Nominal unit labour cost index
2017,NL,0.8,Nominal unit labour cost index
2018,NL,4.5,Nominal unit labour cost index
2019,NL,6.5,Nominal unit labour cost index
2020,NL,13.2,Nominal unit labour cost index
2021,NL,8.6,Nominal unit labour cost index
2022,NL,8.2,Nominal unit labour cost index
2023,NL,9.2,Nominal unit labour cost index
2024,NL,17.5,Nominal unit labour cost index
2015,PL,0.5,Nominal unit labour cost index
2016,PL,2.3,Nominal unit labour cost index
2017,PL,3.8,Nominal unit labour cost index
2018,PL,6.1,Nominal unit labour cost index
2019,PL,7.1,Nominal unit labour cost index
2020,PL,12.6,Nominal unit labour cost index
2021,PL,12.4,Nominal unit labour cost index
2022,PL,17.3,Nominal unit labour cost index
2023,PL,25.1,Nominal unit labour cost index
2024,PL,33.1,Nominal unit labour cost index
2015,PT,0.7,Nominal unit labour cost index
2016,PT,0.3,Nominal unit labour cost index
2017,PT,3.5,Nominal unit labour cost index
2018,PT,6.7,Nominal unit labour cost index
2019,PT,9.2,Nominal unit labour cost index
2020,PT,15.5,Nominal unit labour cost index
2021,PT,12.5,Nominal unit labour cost index
2022,PT,11.7,Nominal unit labour cost index
2023,PT,10.9,Nominal unit labour cost index
2024,PT,17.4,Nominal unit labour cost index
2015,RO,4.1,Nominal unit labour cost index
2016,RO,12.3,Nominal unit labour cost index
2017,RO,18.0,Nominal unit labour cost index
2018,RO,29.0,Nominal unit labour cost index
2019,RO,23.7,Nominal unit labour cost index
2020,RO,21.0,Nominal unit labour cost index
2021,RO,15.9,Nominal unit labour cost index
2022,RO,19.5,Nominal unit labour cost index
2023,RO,27.5,Nominal unit labour cost index
2024,RO,47.6,Nominal unit labour cost index
2015,SE,2.8,Nominal unit labour cost index
2016,SE,3.1,Nominal unit labour cost index
2017,SE,4.4,Nominal unit labour cost index
2018,SE,8.6,Nominal unit labour cost index
2019,SE,7.7,Nominal unit labour cost index
2020,SE,7.9,Nominal unit labour cost index
2021,SE,3.9,Nominal unit labour cost index
2022,SE,7.2,Nominal unit labour cost index
2023,SE,11.1,Nominal unit labour cost index
2024,SE,14.9,Nominal unit labour cost index
2015,SI,-0.6,Nominal unit labour cost index
2016,SI,1.7,Nominal unit labour cost index
2017,SI,3.2,Nominal unit labour cost index
2018,SI,6.0,Nominal unit labour cost index
2019,SI,7.7,Nominal unit labour cost index
2020,SI,14.5,Nominal unit labour cost index
2021,SI,12.0,Nominal unit labour cost index
2022,SI,14.0,Nominal unit labour cost index
2023,SI,15.2,Nominal unit labour cost index
2024,SI,20.4,Nominal unit labour cost index
2015,SK,1.9,Nominal unit labour cost index
2016,SK,3.6,Nominal unit labour cost index
2017,SK,7.9,Nominal unit labour cost index
2018,SK,11.7,Nominal unit labour cost index
2019,SK,14.8,Nominal unit labour cost index
2020,SK,14.0,Nominal unit labour cost index
2021,SK,10.1,Nominal unit labour cost index
2022,SK,12.1,Nominal unit labour cost index
2023,SK,17.3,Nominal unit labour cost index
2024,SK,22.8,Nominal unit labour cost index
2015,AT,85.6,General government gross debt
2016,AT,83.4,General government gross debt
2017,AT,79.1,General government gross debt
2018,AT,74.6,General government gross debt
2019,AT,71.0,General government gross debt
2020,AT,83.2,General government gross debt
2021,AT,82.4,General government gross debt
2022,AT,78.4,General government gross debt
2023,AT,78.5,General government gross debt
2024,AT,81.8,General government gross debt
2015,BE,105.6,General government gross debt
2016,BE,105.5,General government gross debt
2017,BE,102.5,General government gross debt
2018,BE,100.1,General government gross debt
2019,BE,97.6,General government gross debt
2020,BE,111.2,General government gross debt
2021,BE,108.5,General government gross debt
2022,BE,102.7,General government gross debt
2023,BE,103.2,General government gross debt
2024,BE,104.7,General government gross debt
2015,BG,25.9,General government gross debt
2016,BG,29.1,General government gross debt
2017,BG,25.1,General government gross debt
2018,BG,22.1,General government gross debt
2019,BG,20.1,General government gross debt
2020,BG,24.4,General government gross debt
2021,BG,23.8,General government gross debt
2022,BG,22.5,General government gross debt
2023,BG,22.9,General government gross debt
2024,BG,24.1,General government gross debt
2015,CY,111.6,General government gross debt
2016,CY,106.9,General government gross debt
2017,CY,96.5,General government gross debt
2018,CY,100.7,General government gross debt
2019,CY,92.3,General government gross debt
2020,CY,113.6,General government gross debt
2021,CY,96.5,General government gross debt
2022,CY,81.1,General government gross debt
2023,CY,73.6,General government gross debt
2024,CY,65.0,General government gross debt
2015,CZ,39.5,General government gross debt
2016,CZ,36.2,General government gross debt
2017,CZ,33.8,General government gross debt
2018,CZ,31.7,General government gross debt
2019,CZ,29.6,General government gross debt
2020,CZ,36.9,General government gross debt
2021,CZ,40.7,General government gross debt
2022,CZ,42.5,General government gross debt
2023,CZ,42.5,General government gross debt
2024,CZ,43.6,General government gross debt
2015,DE,71.2,General government gross debt
2016,DE,68.3,General government gross debt
2017,DE,64.0,General government gross debt
2018,DE,60.8,General government gross debt
2019,DE,58.7,General government gross debt
2020,DE,68.1,General government gross debt
2021,DE,68.1,General government gross debt
2022,DE,65.0,General government gross debt
2023,DE,62.9,General government gross debt
2024,DE,62.5,General government gross debt
2015,DK,44.6,General government gross debt
2016,DK,41.7,General government gross debt
2017,DK,40.2,General government gross debt
2018,DK,38.5,General government gross debt
2019,DK,38.3,General government gross debt
2020,DK,46.3,General government gross debt
2021,DK,40.5,General government gross debt
2022,DK,34.1,General government gross debt
2023,DK,33.6,General government gross debt
2024,DK,31.1,General government gross debt
2015,EE,10.8,General government gross debt
2016,EE,10.2,General government gross debt
2017,EE,9.4,General government gross debt
2018,EE,8.5,General government gross debt
2019,EE,9.0,General government gross debt
2020,EE,19.1,General government gross debt
2021,EE,18.4,General government gross debt
2022,EE,19.1,General government gross debt
2023,EE,20.2,General government gross debt
2024,EE,23.6,General government gross debt
2015,EL,179.6,General government gross debt
2016,EL,183.1,General government gross debt
2017,EL,182.1,General government gross debt
2018,EL,189.0,General government gross debt
2019,EL,183.2,General government gross debt
2020,EL,209.4,General government gross debt
2021,EL,197.3,General government gross debt
2022,EL,177.0,General government gross debt
2023,EL,163.9,General government gross debt
2024,EL,153.6,General government gross debt
2015,ES,102.5,General government gross debt
2016,ES,102.0,General government gross debt
2017,ES,101.2,General government gross debt
2018,ES,99.8,General government gross debt
2019,ES,97.7,General government gross debt
2020,ES,119.3,General government gross debt
2021,ES,115.7,General government gross debt
2022,ES,109.5,General government gross debt
2023,ES,105.1,General government gross debt
2024,ES,101.8,General government gross debt
2015,FI,68.8,General government gross debt
2016,FI,68.6,General government gross debt
2017,FI,66.6,General government gross debt
2018,FI,65.4,General government gross debt
2019,FI,65.3,General government gross debt
2020,FI,75.3,General government gross debt
